run,dl,ul,ping,record time
169,225.421,75.521,11.626,2023-09-26 13:27:27
170,251.573,241.83,11.626,2023-09-26 13:28:28
171,236.312,234.5,11.626,2023-09-26 13:29:28
172,239.907,245.876,11.626,2023-09-26 13:30:29
173,209.411,221.402,11.626,2023-09-26 13:31:30
174,234.018,233.946,11.626,2023-09-26 13:32:30
175,239.397,251.946,11.626,2023-09-26 13:33:30
176,245.983,253.001,11.626,2023-09-26 13:34:30
177,240.483,246.472,11.626,2023-09-26 13:35:31
178,238.279,247.915,11.626,2023-09-26 13:36:31
179,231.187,244.826,11.626,2023-09-26 13:37:31
180,237.163,242.809,11.626,2023-09-26 13:38:32
181,222.322,243.89,11.626,2023-09-26 13:39:32
182,241.478,239.947,11.626,2023-09-26 13:40:33
183,260.456,168.011,11.626,2023-09-26 13:41:36
184,237.671,241.027,11.626,2023-09-26 13:42:36
185,270.656,241.642,11.626,2023-09-26 13:43:36
186,11.339,0,11.626,2023-09-26 13:44:50
187,598.913,266.72,11.626,2023-09-26 13:45:45
188,632.113,266.774,11.626,2023-09-26 13:46:40
189,256.927,245.799,11.626,2023-09-26 13:47:41
190,263.135,247.017,11.626,2023-09-26 13:48:41
191,243.596,236.776,11.626,2023-09-26 13:49:41
192,237.328,181.527,11.626,2023-09-26 13:50:44
193,255.213,248.419,11.626,2023-09-26 13:51:44
194,247.83,244.25,11.626,2023-09-26 13:52:44
195,235.718,239.612,11.626,2023-09-26 13:53:44
196,234.836,217.512,11.626,2023-09-26 13:54:45
197,236.689,241.387,11.626,2023-09-26 13:55:46
198,230.386,234.588,11.626,2023-09-26 13:56:47
199,247.307,224.486,11.626,2023-09-26 13:57:48
200,255.821,178.055,11.626,2023-09-26 13:58:50
201,250.189,244.188,11.626,2023-09-26 13:59:51
202,229.923,238.68,11.626,2023-09-26 14:00:51
203,281.579,240.959,11.626,2023-09-26 14:01:51
204,222.063,222.339,11.626,2023-09-26 14:02:52
205,244.202,238.396,11.626,2023-09-26 14:03:53
206,248.749,45.735,11.626,2023-09-26 14:05:21
207,195.443,213.671,11.626,2023-09-26 14:06:23
208,223.328,237.665,11.626,2023-09-26 14:07:23
209,266.186,244.382,11.626,2023-09-26 14:08:24
210,251.196,233.555,11.626,2023-09-26 14:09:24
211,231.294,208.484,11.626,2023-09-26 14:10:25
212,244.996,239.768,11.626,2023-09-26 14:11:26
213,259.91,241.603,11.626,2023-09-26 14:12:26
214,259.587,245.278,11.626,2023-09-26 14:13:27
215,279.459,244.187,11.626,2023-09-26 14:14:27
