Run Count Download - Upload - PING Record Time
127 231.797 Mbps - 232.116 Mbps - 11.626 2023-09-26 12:45:04.457049
128 209.245 Mbps - 245.06 Mbps - 11.626 2023-09-26 12:46:04.896844
129 259.694 Mbps - 239.38 Mbps - 11.626 2023-09-26 12:47:05.366254
130 233.132 Mbps - 233.443 Mbps - 11.626 2023-09-26 12:48:05.998072
131 229.935 Mbps - 236.999 Mbps - 11.626 2023-09-26 12:49:06.450434
132 206.712 Mbps - 229.267 Mbps - 11.626 2023-09-26 12:50:07.191080
133 220.959 Mbps - 242.317 Mbps - 11.626 2023-09-26 12:51:07.549329
134 222.497 Mbps - 232.166 Mbps - 11.626 2023-09-26 12:52:08.244134
135 251.933 Mbps - 239.198 Mbps - 11.626 2023-09-26 12:53:08.676356
136 221.809 Mbps - 247.527 Mbps - 11.626 2023-09-26 12:54:08.927430
137 227.526 Mbps - 242.684 Mbps - 11.626 2023-09-26 12:55:09.302911
138 186.571 Mbps - 237.2 Mbps - 11.626 2023-09-26 12:56:09.881854
139 229.038 Mbps - 254.121 Mbps - 11.626 2023-09-26 12:57:09.992416
140 228.563 Mbps - 247.326 Mbps - 11.626 2023-09-26 12:58:10.246075
141 229.9 Mbps - 252.377 Mbps - 11.626 2023-09-26 12:59:10.501314
142 220.638 Mbps - 210.593 Mbps - 11.626 2023-09-26 13:00:11.901826
143 230.166 Mbps - 216.259 Mbps - 11.626 2023-09-26 13:01:12.850993
144 218.425 Mbps - 222.819 Mbps - 11.626 2023-09-26 13:02:13.676237
145 190.606 Mbps - 242.709 Mbps - 11.626 2023-09-26 13:03:14.051022
146 218.35 Mbps - 248.242 Mbps - 11.626 2023-09-26 13:04:14.279429
147 234.854 Mbps - 242.942 Mbps - 11.626 2023-09-26 13:05:14.766207
148 197.542 Mbps - 218.369 Mbps - 11.626 2023-09-26 13:06:15.708041
149 201.142 Mbps - 247.03 Mbps - 11.626 2023-09-26 13:07:16.106650
150 269.48 Mbps - 253.804 Mbps - 11.626 2023-09-26 13:08:16.298081
151 274.522 Mbps - 238.844 Mbps - 11.626 2023-09-26 13:09:16.863895
152 370.221 Mbps - 258.878 Mbps - 11.626 2023-09-26 13:10:15.743271
153 340.63 Mbps - 259.317 Mbps - 11.626 2023-09-26 13:11:15.338878
154 340.732 Mbps - 264.398 Mbps - 11.626 2023-09-26 13:12:14.843359
155 315.571 Mbps - 256.794 Mbps - 11.626 2023-09-26 13:13:14.898921
156 324.85 Mbps - 256.443 Mbps - 11.626 2023-09-26 13:14:14.984116
157 329.537 Mbps - 259.687 Mbps - 11.626 2023-09-26 13:15:14.957080
158 333.002 Mbps - 258.636 Mbps - 11.626 2023-09-26 13:16:14.910756
159 308.028 Mbps - 236.378 Mbps - 11.626 2023-09-26 13:17:15.422165
160 284.524 Mbps - 239.393 Mbps - 11.626 2023-09-26 13:18:15.887146
161 293.496 Mbps - 215.09 Mbps - 11.626 2023-09-26 13:19:16.856701
162 318.253 Mbps - 239.009 Mbps - 11.626 2023-09-26 13:20:17.233880
163 318.246 Mbps - 241.66 Mbps - 11.626 2023-09-26 13:21:17.709563
164 325.736 Mbps - 264.046 Mbps - 11.626 2023-09-26 13:22:17.590212
165 320.213 Mbps - 270.326 Mbps - 11.626 2023-09-26 13:23:17.422103
166 318.408 Mbps - 254.17 Mbps - 11.626 2023-09-26 13:24:17.501292
167 261.218 Mbps - 195.908 Mbps - 11.626 2023-09-26 13:25:19.610953
168 239.137 Mbps - 248.924 Mbps - 11.626 2023-09-26 13:26:19.832598
169 225.421 Mbps - 75.521 Mbps - 11.626 2023-09-26 13:27:27.343744
170 251.573 Mbps - 241.83 Mbps - 11.626 2023-09-26 13:28:27.742619
171 236.312 Mbps - 234.5 Mbps - 11.626 2023-09-26 13:29:28.326723
172 239.907 Mbps - 245.876 Mbps - 11.626 2023-09-26 13:30:28.610110
173 209.411 Mbps - 221.402 Mbps - 11.626 2023-09-26 13:31:29.529012
